EHRProductVersion,AttestationID,ProviderID,ProductClassification,PaymentYear,ProviderType,ProgramYear,Specialty,ProductSetting,ProgramType,BusinessState/Territory,VendorName,EHRProductName,AttestationYear,AttestationMonth
v5.0,68271,385,Complete EHR,1,EP,2011,UROLOGY,Ambulatory,Medicare,TN,"meridianEMR, Inc.",meridianEMR,2011,6
9.5,78546,386,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,GA,GE Healthcare,Centricity Practice Solution,2012,1
9.5,79508,386,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,GA,GE Healthcare,Centricity Practice Solution,2013,1
1,165608,387,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,CA,"DR Systems, Inc.",eHR Meaningful Use for Medical Imaging,2013,1
8,119778,388,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,CT,Origin Healthcare Solutions,EMRge,2012,6
Summer 2009,119508,389,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
2010,119508,389,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
Summer 2009,88491,389,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,9
12.1,188416,390,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,PA,"athenahealth, Inc",athenaClinicals,2012,11
2,186402,391,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MO,Lester E. Cox Medical Centers (DBA: CoxHealth),CoxHealth Express,2013,1
9.5,186402,391,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MO,GE Healthcare,Centricity EMR,2013,1
2010,63849,392,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NC,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
9.5,41582,393,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,NY,GE Healthcare,Centricity EMR,2012,2
10,83814,394,Complete EHR,2,EP,2012,OPTOMETRY,Ambulatory,Medicare,KS,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
10,82815,394,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,KS,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2011,12
2012.2,183415,395,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OK,"MedPlus, A Quest Diagnostics Company",Care360 EHR,2012,11
Summer 2009,90957,396,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
9.7,85654,397,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,FL,NexTech Systems Inc.,NexTech Practice 2011,2012,10
3.x,108891,398,Modular EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,IL,DrFirst,Rcopia MU,2011,4
2,108891,398,Modular EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,IL,WellCentive,WellCentive Registry,2011,4
3.x,109442,398,Modular EHR,2,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,IL,DrFirst,Rcopia MU,2013,1
2,109442,398,Modular EHR,2,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,IL,WellCentive,WellCentive Registry,2013,1
3,110108,399,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,PR,NeoDeck Software,NeoMed EHR,2012,7
9.7,85758,400,Complete EHR,1,EP,2012,PLASTIC AND RECONSTRUCTIVE SURGERY,Ambulatory,Medicare,DC,NexTech Systems Inc.,NexTech Practice 2011,2012,12
10,124735,401,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,ME,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,3
10,125079,401,Complete EHR,2,EP,2012,OPTOMETRY,Ambulatory,Medicare,ME,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
3,115049,402,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,"Enable Healthcare, Inc. (EHI)",Mdnet,2013,1
5.1,167978,403,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,MI,"Integrated Practice Solutions, Inc.",ChiroTouch,2013,1
7.5,77660,404,Complete EHR,2,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,IA,"MedInformatix, Inc",MedInformatix,2013,1
7.5,77009,404,Complete EHR,1,EP,2011,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,IA,"MedInformatix, Inc",MedInformatix,2011,12
2,135951,405,Complete EHR,1,EP,2011,ANESTHESIOLOGY,Ambulatory,Medicare,FL,Practice Fusion,Practice Fusion,2011,10
12.9,187519,406,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,"athenahealth, Inc",athenaClinicals,2012,10
5.1,141840,407,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,GA,"Net Health Systems, Inc.",WoundExpert,2012,1
5.1,141848,407,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,GA,"Net Health Systems, Inc.",WoundExpert,2013,1
10.3.1,113299,408,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IL,McKesson,Horizon Ambulatory Care,2012,7
7,109818,409,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,"IO Practiceware, Inc.",IO Practiceware,2012,5
11.2,159614,410,Complete EHR,1,EP,2012,NEUROSURGERY,Ambulatory,Medicare,GA,Allscripts,Allscripts Enterprise EHR,2013,1
2,137302,411,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,VA,Practice Fusion,Practice Fusion,2012,2
9.5,39820,412,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,OR,GE Healthcare,Centricity EMR,2011,10
19.5,66456,413,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,OH,"Community Computer Service, Inc.",MEDENT,2012,12
5.6 SP1,33150,414,Complete EHR,1,EP,2012,NEUROSURGERY,Ambulatory,Medicare,NC,NextGen Healthcare,NextGen Ambulatory EHR,2012,11
6.2,71077,415,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,FL,Sage,Sage Intergy Meaningful Use Edition,2011,9
6.2,72594,415,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,FL,Sage,Sage Intergy Meaningful Use Edition,2013,1
12,107278,416,Complete EHR,1,EP,2011,COLORECTAL SURGERY,Ambulatory,Medicare,MI,Digital Medical Solutions Inc.,Office Medicine,2011,12
2011,19523,417,Complete EHR,1,EP,2011,GENERAL SURGERY,Ambulatory,Medicare,OH,"Greenway Medical Technologies, Inc.",PrimeSuite,2011,12
5.5,101848,418,Complete EHR,1,Hospital,2011,N/A,Inpatient,Medicare/Medicaid,AL,Allscripts,Sunrise Acute Care,2011,7
5.5,101882,418,Complete EHR,2,Hospital,2012,N/A,Inpatient,Medicare/Medicaid,AL,Allscripts,Sunrise Acute Care,2012,10
9,8820,419,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,eClinicalWorks LLC,eClinicalWorks,2012,5
11.2,156281,420,Complete EHR,1,EP,2011,UROLOGY,Ambulatory,Medicare,NY,Allscripts,Allscripts Enterprise EHR,2012,2
9.3,172846,421,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,VA,Allscripts,Allscripts Professional EHR,2012,10
9.5,78974,422,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,VA,GE Healthcare,Centricity Practice Solution,2012,5
3,85213,423,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,HealthFusion,MediTouch EHR,2012,11
2.4,106989,424,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Inpatient,Medicare,KY,NextGen Healthcare,NextGen Inpatient Clinicals,2013,1
9.2.2,144135,425,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,VA,Allscripts,Allscripts Professional EHR,2011,11
11.9,146763,426,Complete EHR,1,EP,2011,UROLOGY,Ambulatory,Medicare,SD,"athenahealth, Inc",athenaClinicals,2011,10
SP12,152549,427,Complete EHR,1,EP,2011,NEPHROLOGY,Ambulatory,Medicare,CT,"simplifyMD, LLC",simplifyMD,2012,2
9,8168,428,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,NY,eClinicalWorks LLC,eClinicalWorks,2012,4
6,111406,429,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,NC,Health IT Services Group,Acumen EHR,2012,11
5.6 SP1,34267,430,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,GA,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
9,13902,431,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,GA,eClinicalWorks LLC,eClinicalWorks,2012,12
11.2,194302,432,Complete EHR,1,EP,2012,HAND SURGERY,Ambulatory,Medicare,OK,Allscripts,Allscripts Enterprise EHR,2013,1
7.5.10,105480,433,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TX,"GEMMS, Inc.",GEMMS ONE,2013,1
version 1.18,135538,434,Complete EHR,1,EP,2011,NEPHROLOGY,Ambulatory,Medicare,FL,"Falcon, LLC.",Falcon EHR,2012,1
5.6 SP1,28972,435,Complete EHR,1,EP,2011,PULMONARY DISEASE,Ambulatory,Medicare,NY,NextGen Healthcare,NextGen Ambulatory EHR,2012,2
10.1,67802,436,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TX,GE Healthcare,Centricity Advance,2012,10
2010,59515,437,Complete EHR,1,EP,2012,THORACIC SURGERY,Ambulatory,Medicare,IN,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
2010.2,82075,438,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,"MedPlus, A Quest Diagnostics Company",Care360 EHR,2013,1
5.6 SP1,37653,439,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,OK,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
2010,52583,440,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,SD,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,9
5.6 SP1,34664,441,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
2012.M11.16,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M09.21,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M08.13,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2 Clinical Desktop,2012,12
2012.M09.16,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.23,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.18,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M11.22,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.25,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M08.13,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2 Clinical Desktop,2012,12
2012.M11.16,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.25,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.18,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M08.16,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.17,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M09.20,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.23,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M10.17,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M09.16,192173,442,Modular EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M08.16,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M09.21,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2012.M09.20,192173,442,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2012,12
2011.1,124152,443,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,IN,EMRlogic Systems,activEHR?,2012,9
10,124888,444,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,OH,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,10
9,8741,445,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MO,eClinicalWorks LLC,eClinicalWorks,2012,5
2010,55381,446,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,NY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
5.6 SP1,37012,447,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,IL,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
5.6 SP1,26493,447,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,IL,NextGen Healthcare,NextGen Ambulatory EHR,2011,10
V7.10,162638,448,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,PA,"Vitera Healthcare Solutions, LLC",Vitera Intergy Meaningful Use Edition,2012,9
11,142714,449,Complete EHR,1,EP,2012,RADIATION ONCOLOGY,Ambulatory,Medicare,NC,Varian Medical Systems,ARIA Oncology Information System (for Radiation Oncology),2012,12
7.2,150207,450,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,VA,"e-MDs, Inc.",e-MDs Solution Series,2012,9
Summer 2009,97133,451,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,MI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,7
11.2,158304,452,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,AZ,Allscripts,Allscripts Enterprise EHR,2012,12
5.7,180044,453,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
2011,68096,454,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,IL,Pulse Systems,2011 Pulse Complete EHR,2012,6
6.2,71649,455,Complete EHR,1,EP,2011,PULMONARY DISEASE,Ambulatory,Medicare,NY,Sage,Sage Intergy Meaningful Use Edition,2012,1
6.2,72746,455,Complete EHR,2,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,NY,Sage,Sage Intergy Meaningful Use Edition,2013,1
9.2.2,144128,456,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,PA,Allscripts,Allscripts Professional EHR,2011,11
5.6 SP1,32770,457,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,AZ,NextGen Healthcare,NextGen Ambulatory EHR,2012,10
7,109750,458,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,NE,"IO Practiceware, Inc.",IO Practiceware,2011,12
7,109962,458,Complete EHR,2,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NE,"IO Practiceware, Inc.",IO Practiceware,2013,1
2,136627,459,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,TX,Practice Fusion,Practice Fusion,2012,1
10,1248,460,Complete EHR,1,EP,2011,CHIROPRACTIC,Ambulatory,Medicare,OH,Compulink,Advantage/EHR,2012,1
10,2450,460,Complete EHR,2,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,OH,Compulink,Advantage/EHR,2013,1
2010,50645,461,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,7
2011.06,160155,462,Modular EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2012,1
2010.01.07,160155,462,Modular EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2012,1
2012.05,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.01.04,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
2012.01.08,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.01.01,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.09,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.08,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.07,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.01,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.06`,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2011.12,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.1,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2012.04,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2013,1
2010.01.18,190221,462,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,MA,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
6.2,71635,463,Complete EHR,1,EP,2011,GENERAL SURGERY,Ambulatory,Medicare,IL,Sage,Sage Intergy Meaningful Use Edition,2012,1
2011.3,168321,464,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NY,"MedPlus, A Quest Diagnostics Company",Care360 EHR,2012,6
5.1.1,304,465,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,FL,Sammy Systems,SammyEHR,2012,1
5.1.1,498,465,Complete EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Sammy Systems,SammyEHR,2013,1
2010,54120,466,Complete EHR,1,EP,2012,OSTEOPATHIC MANIPULATIVE MEDICINE,Ambulatory,Medicare,NY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
9.3,172800,467,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,IN,Allscripts,Allscripts Professional EHR,2012,10
9,13604,468,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MI,eClinicalWorks LLC,eClinicalWorks,2012,12
11.1,162169,469,Complete EHR,1,EP,2011,ORTHOPEDIC SURGERY,Ambulatory,Medicare,GA,"athenahealth, Inc",athenaClinicals,2011,11
7.2,150937,470,Complete EHR,2,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,MI,"e-MDs, Inc.",e-MDs Solution Series,2013,1
7.2,149738,470,Complete EHR,1,EP,2011,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,MI,"e-MDs, Inc.",e-MDs Solution Series,2012,1
5.6 SP1,30688,471,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,7
9.2.2,144483,472,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,OH,Allscripts,Allscripts Professional EHR,2011,12
10,177917,472,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OH,Allscripts,Allscripts Professional EHR,2013,1
2,69425,473,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,MI,BioMedix Vascular Solutions,TRAKnet Practice Management Software,2011,12
19.5,64658,474,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,NY,"Community Computer Service, Inc.",MEDENT,2011,8
11.2,157595,475,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,GA,Allscripts,Allscripts Enterprise EHR,2012,10
2010,56601,476,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,LA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,12
Version 11.0,194552,477,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,TN,Varian Medical Systems,ARIA for Medical Oncology,2013,1
5.6 SP1,35874,478,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
9.5,78968,479,Complete EHR,1,EP,2012,HAND SURGERY,Ambulatory,Medicare,TX,GE Healthcare,Centricity Practice Solution,2012,5
2,140157,480,Complete EHR,2,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,Practice Fusion,Practice Fusion,2013,1
2,136300,480,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,NY,Practice Fusion,Practice Fusion,2011,12
4.16.2,189341,481,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,LA,"gMed, Inc.",gGastro,2012,12
5.6 SP1,37506,482,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
7,86355,483,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,NC,"ChartLogic, Inc.",ChartLogic EHR,2012,7
9,76790,484,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MS,eClinicalWorks LLC,eClinicalWorks,2012,8
8.0.48,76790,484,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MS,eClinicalWorks LLC,eClinicalWorks,2012,8
2010,61099,485,Complete EHR,1,EP,2012,ALLERGY/IMMUNOLOGY,Ambulatory,Medicare,IA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
12.2,186591,486,Complete EHR,1,EP,2012,COLORECTAL SURGERY,Ambulatory,Medicare,AL,"simplifyMD, LLC",simplifyMD,2012,12
6.2,71637,487,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,NE,Sage,Sage Intergy Meaningful Use Edition,2012,1
v8.3,163981,488,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,NC,SRSsoft,SRS EHR,2012,10
2011,116148,489,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,TX,"SOAPware, Inc.",SOAPware,2013,1
2011,115807,489,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,TX,"SOAPware, Inc.",SOAPware,2011,10
9.1,133663,490,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,OH,Allscripts,Allscripts MyWay EHR,2012,11
5.6 SP1,37387,491,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
6,84656,492,Complete EHR,1,EP,2011,NEUROSURGERY,Ambulatory,Medicare,TX,"gloStream, Inc.",gloEMR,2012,2
7.2,179820,493,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,OK,Merge Healthcare,Merge RIS,2013,1
9,10474,494,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,FL,eClinicalWorks LLC,eClinicalWorks,2012,8
6,82381,495,Complete EHR,1,EP,2011,GENERAL PRACTICE,Ambulatory,Medicare,AR,SuccessEHS,SuccessEHS,2012,1
3.x,109192,496,Modular EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,MA,DrFirst,Rcopia MU,2012,10
2,109192,496,Modular EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,MA,WellCentive,WellCentive Registry,2012,10
2010,52408,497,Complete EHR,1,EP,2012,PLASTIC AND RECONSTRUCTIVE SURGERY,Ambulatory,Medicare,NY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,9
5.6 SP1,37304,498,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
5.6 SP1,26802,498,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2011,11
2.6,106322,499,Complete EHR,1,EP,2012,MEDICAL ONCOLOGY,Ambulatory,Medicare,MI,"Altos Solutions, Inc.",OncoEMR,2012,8
2011,21490,500,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,AL,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,11
